"id","account_id","name","area","columns","saved_search","sort_by","sort_direction","note","created_at","updated_at","settings"
"1864401","48210","Custom Cattle Inventory","animals","[""ear_tag"", ""electronic_id"", ""age_in_years"", ""brand"", ""breed_id"", ""color_markings""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Cow"", ""pasture_id_eq""=>""492651""}","current_breeding_status","asc","","2013-11-11 09:04:59 -0600","2018-04-17 05:57:40 -0500","{""font_size""=>""14""}"
"1864404","48210","Cattle Deaths","animal_deaths","[""ear_tag"", ""animal_type"", ""category_id"", ""birth_date"", ""death_date"", ""cause_of_death"", ""death_date"", ""cause_of_death""]","{""death_date_gteq""=>""2017-01-01"", ""death_date_lteq""=>""2017-12-31""}","animal_type","asc","","2013-11-11 09:04:59 -0600","2018-03-06 12:35:27 -0600","{""font_size""=>""12""}"
"1864407","48210","Cattle Marketing","animal_marketing","[""ear_tag"", ""animal_type"", ""category_id"", ""birth_date"", ""asking_price"", ""marketing_comments""]","","ear_tag","asc","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","{""font_size""=>""12""}"
"1864410","48210","Cattle Notes","animal_notes","[""animal_ear_tag"", ""note_date"", ""category"", ""note_details""]","{""note_date_gteq""=>Tue, 01 Jan 2019, ""note_date_lteq""=>nil, ""category_cont""=>"""", ""animal_status_eq""=>""Active"", ""animal_animal_type_eq""=>"""", ""animal_birth_date_gteq""=>nil, ""animal_birth_date_lteq""=>nil, ""animal_pasture_id_eq""=>"""", ""animal_groupings_group_id_eq""=>""""}","category","asc","","2013-11-11 09:04:59 -0600","2019-02-20 10:03:41 -0600","{""font_size""=>""12""}"
"1864413","48210","Cattle Purchases","animal_purchases","[""ear_tag"", ""age_in_years"", ""animal_type"", ""purchase_date"", ""purchase_price"", ""purchased_from_contact_id""]","","age_in_years","asc","","2013-11-11 09:04:59 -0600","2014-05-09 07:34:27 -0500","{""font_size""=>""12""}"
"1864416","48210","Cattle Sales","animal_sales","[""ear_tag"", ""birth_date"", ""animal_type"", ""sale_ticket_sold_to_contact_id"", ""sale_ticket_sale_date"", ""sale_price""]","{""sale_ticket_sale_date_gteq""=>""2015-01-01"", ""sale_ticket_sale_date_lteq""=>""2015-12-31"", ""s""=>""sale_ticket_sale_date desc""}","sale_ticket_sale_date","desc","","2013-11-11 09:04:59 -0600","2015-01-28 14:57:45 -0600","{""font_size""=>""12""}"
"1864419","48210","Breeding","breedings","[""animal_ear_tag"", ""animal_current_breeding_status"", ""breeding_method"", ""breeding_date"", ""estimated_calving_date"", ""cleanup"", ""embryo_cl_side"", ""embryo_mating"", ""sire_ear_tag""]","{""breeding_date_gteq""=>""2015-03-09"", ""archived_eq""=>""false"", ""animal_status_eq""=>""Active"", ""animal_groupings_group_id_eq""=>""733147""}","animal_ear_tag","asc","","2013-11-11 09:04:59 -0600","2017-09-19 05:50:49 -0500","{""font_size""=>""12""}"
"1864422","48210","Bull Inventory","bulls","[""ear_tag"", ""reg_num"", ""comments"", ""last_weight"", ""last_weight_date"", ""age_in_months""]","{""status_eq""=>""Active"", ""pasture_id_eq""=>""397304"", ""groupings_group_id_eq""=>""1190511""}","ear_tag","asc","","2013-11-11 09:04:59 -0600","2017-09-23 08:58:45 -0500","{""font_size""=>""12""}"
"1864425","48210","Calf Inventory","calves","[""ear_tag"", ""sex"", ""birth_date"", ""age_in_months"", ""sire_ear_tag"", ""dam_ear_tag""]","{""status_eq""=>""Active"", ""groupings_group_id_eq""=>""631971""}","ear_tag","asc","","2013-11-11 09:04:59 -0600","2017-09-24 14:47:48 -0500","{""font_size""=>""14""}"
"1864428","48210","Carcass Data","carcass","[""animal_ear_tag"", ""harvest_date"", ""carcass_weight"", ""fat_thickness"", ""ribeye_area"", ""intramuscular_fat"", ""quality_grade"", ""yield_grade""]","","harvest_date","asc","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","{""font_size""=>""12""}"
"1864431","48210","Contacts","contacts","[""photo"", ""display_as"", ""first_name"", ""last_name"", ""phone_number"", ""tags""]","{""s""=>""display_as asc""}","display_as","asc","","2013-11-11 09:04:59 -0600","2014-07-07 08:35:24 -0500","{""font_size""=>""12""}"
"1864434","48210","Contact Notes","contact_notes","[""note_date"", ""contact_display_as"", ""category"", ""note_details""]","{""note_date_gteq""=>"""", ""note_date_lteq""=>"""", ""category_cont""=>""Contact Note category"", ""contact_status_eq""=>"""", ""contact_taggings_tag_id_eq""=>""""}","note_date","desc","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","{""font_size""=>""12""}"
"1864437","48210","Louise Animal Report","cows","[""ear_tag"", ""brand"", ""breed_id"", ""current_breeding_status"", ""age_in_years"", ""withdrawal_date""]","{""status_eq""=>""Active"", ""current_breeding_status_eq""=>"""", ""birth_date_gteq""=>nil, ""birth_date_lteq""=>nil, ""pasture_id_eq""=>""492651"", ""category_id_eq""=>"""", ""groupings_group_id_eq""=>""""}","ear_tag","asc","","2013-11-11 09:04:59 -0600","2019-05-12 10:13:56 -0500","{""font_size""=>""12""}"
"1864440","48210","EBVs","ebvs","[""ear_tag"", ""bw_ebv"", ""bw_acc"", ""milk_ebv"", ""milk_acc"", ""200d_ebv"", ""200d_acc"", ""400d_ebv"", ""400d_acc"", ""600d_ebv"", ""600d_acc""]","","ear_tag","asc","","2013-11-11 09:04:59 -0600","2016-02-17 21:31:34 -0600","{""font_size""=>""12""}"
"1864443","48210","Embryo Inventory","embryos","[""recip_ear_tag"", ""donor_ear_tag"", ""collection_code"", ""embryo_number"", ""status"", ""tank_name"", ""sire_name""]","{""status_eq""=>""Available"", ""s""=>""donor_ear_tag desc""}","donor_ear_tag","desc","","2013-11-11 09:04:59 -0600","2014-12-01 10:02:32 -0600","{""font_size""=>""12""}"
"1864446","48210","Embryo Sales","embryo_sales","[""donor_ear_tag"", ""donor_name"", ""sire_name"", ""sale_date"", ""sale_price"", ""sold_to_contact_id""]","","donor_ear_tag","asc","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","{""font_size""=>""12""}"
"1864449","48210","EPDs","epds","[""ear_tag"", ""bw_epd"", ""ww_epd"", ""yw_epd"", ""milk_epd"", ""tm_epd""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Bull"", ""groupings_group_id_eq""=>""631968""}","bw_epd","desc","","2013-11-11 09:04:59 -0600","2016-12-09 14:16:38 -0600","{""font_size""=>""12""}"
"1864452","48210","Events List","events","[""summary"", ""start_at"", ""end_at"", ""all_day"", ""category"", ""description""]","","start_at","desc","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","{""font_size""=>""12""}"
"1864455","48210","Expenses","expenses","[""purchase_date"", ""purchased_from_contact_id"", ""amount"", ""item"", ""category""]","{""purchase_date_gteq""=>"""", ""purchase_date_lteq""=>"""", ""paid_date_gteq""=>"""", ""paid_date_lteq""=>"""", ""amount_gteq""=>"""", ""amount_lteq""=>"""", ""category_cont""=>"""", ""purchased_from_contact_id_eq""=>"""", ""s""=>""purchase_date desc""}","purchase_date","desc","","2013-11-11 09:04:59 -0600","2015-10-25 13:49:00 -0500","{""font_size""=>""12""}"
"1864458","48210","Flushes","flushes","[""donor_ear_tag"", ""flush_date"", ""sire_name"", ""recovered"", ""usable""]","","flush_date","desc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""12""}"
"1864461","48210","Horn Measurements","horn_measurements","[""animal_name"", ""measure_date"", ""tip_to_tip"", ""total_horn"", ""base"", ""composite""]","","measure_date","desc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""12""}"
